Country,GDP 2021,GDP 2022
Aruba,3126019385.47486,
Africa Eastern and Southern,1081998139192.4668,1169483734191.4592
Afghanistan,14583135236.574402,
Africa Western and Central,844459722152.991,877863284874.0677
Angola,65685435100.498566,106713618735.43364
Albania,17930565118.81762,18882095517.87683
Andorra,3325145406.771094,3352032737.039098
Arab World,2928455523439.8765,3557557256270.5903
United Arab Emirates,415021590687.54254,507534921715.4527
Argentina,487227125385.6405,632770284408.5104
Armenia,13861409968.834984,19502783987.880733
American Samoa,709000000.0,
Antigua and Barbuda,1560518518.5185182,1757603703.7037036
Australia,1552703151616.0059,1675418665067.0903
Austria,480368403893.3644,471400066091.24695
Azerbaijan,54825411764.70589,78721058823.5294
Burundi,2775798697.1648517,3073414677.843855
Belgium,594351961634.4866,578604103123.3485
Benin,17690083519.932217,17401746309.26596
Burkina Faso,19737616003.022026,18884619613.438755
Bangladesh,416264802185.1664,460201000095.10144
Bulgaria,84061395658.22096,89040398406.37451
Bahrain,39303403989.3617,44390820478.7234
"Bahamas, The",11527600000.0,12897400000.0
Bosnia and Herzegovina,23649566069.235477,24527507287.79619
Belarus,69673747131.86996,72793457588.43666
Belize,2491500000.0,2824081836.19867
Bermuda,7127200000.0,7550500000.0
Bolivia,40408208523.87843,43068885672.93777
Brazil,1649622972159.3523,1920095560995.0596
Barbados,4843800000.0,5637914514.637899
Brunei Darussalam,14006497000.247732,16681531645.7347
Bhutan,2539551327.4829144,
Botswana,18737066306.965874,20352322157.146694
Central African Republic,2516498412.313609,2382618615.3562036
Canada,2001486745423.9233,2139840023673.811
Central Europe and the Baltics,1905555039662.6404,1946330897134.1575
Switzerland,800640155387.2601,807706035351.7502
Channel Islands,11735662219.777197,
Chile,316713577508.6728,301025249437.94666
China,17820459342451.18,17963170521079.832
Cote d'Ivoire,71811075954.67603,70018715016.69667
Cameroon,45338285386.10442,44341646509.21932
"Congo, Dem. Rep.",55350968593.05974,58065953573.32467
"Congo, Rep.",13366230821.32927,14615532210.05235
Colombia,318511813576.97217,343939445259.48724
Comoros,1296089479.4582407,1242519407.2782135
Cabo Verde,2091741774.107716,2314816792.0629125
Costa Rica,64616482167.74751,68380838316.27769
Caribbean small states,75672802626.70438,92935645972.95738
Cuba,545217900000.0,
Curacao,2699612458.1005588,
Cayman Islands,6028373541.474339,
Cyprus,28408064462.18559,28439052740.85614
Czechia,281791218507.0996,290923534700.51807
Germany,4259934911821.637,4072191736089.51
Djibouti,3372287461.808115,3515109075.460975
Dominica,555266666.6666666,612048148.1481481
Denmark,398303272764.4596,395403906582.0007
Dominican Republic,94243426487.0833,113641857434.00235
Algeria,163472233245.77017,191912889420.91083
East Asia & Pacific (excluding high income),20837352063117.543,21189324409148.254
Early-demographic dividend,12674194364881.75,14029514129086.953
East Asia & Pacific,31095572987690.754,30655246030297.684
Europe & Central Asia (excluding high income),3581677715819.851,4124699980830.4565
Europe & Central Asia,25153884144575.58,25192037594848.625
Ecuador,106165866000.0,115049476000.0
"Egypt, Arab Rep.",424671765455.7043,476747720364.74164
Euro area,14570891691511.682,14040893546587.25
Eritrea,,
Spain,1427380681294.5508,1397509272054.4802
Estonia,37191166151.98003,38100812958.5196
Ethiopia,111261882913.3419,126783472501.13449
European Union,17187869517145.904,16641391923811.105
Fragile and conflict affected situations,1782737506679.6443,1891789706611.7017
Finland,296387625263.56116,280825957768.4836
Fiji,4296235427.523395,4943248200.044096
France,2957879759263.5186,2782905325624.5244
Faroe Islands,3649878680.228112,
"Micronesia, Fed. Sts.",404028900.0,427094119.11131704
Gabon,20217946921.206306,21071739227.942764
United Kingdom,3122480345924.5425,3070667732359.205
Georgia,18629365612.095997,24605375420.06721
Ghana,79156409409.85811,72838798787.70659
Gibraltar,,
Guinea,16091817842.234802,21227749388.728706
"Gambia, The",2038414973.5717318,2273060863.139807
Guinea-Bissau,1638517606.8857841,1633559092.0661118
Equatorial Guinea,12269393392.157854,11813908447.813124
Greece,214873879833.6477,219065872466.24988
Grenada,1122800000.0,1256413185.1851852
Greenland,3235816195.0660877,
Guatemala,86053079767.35074,95003333381.19363
Guam,6123000000.0,
Guyana,8044498800.959232,15357537068.343403
High income,60016712305060.195,61535768880816.64
"Hong Kong SAR, China",368911387845.4176,359838598806.0907
Honduras,28488721296.201176,31717700115.254597
Heavily indebted poor countries (HIPC),898771753067.7231,970109981803.945
Croatia,68843674641.21117,70964606464.64272
Haiti,20877414952.12358,20253551885.214645
Hungary,182275444031.7896,178788572067.58902
IBRD only,35615582809272.95,37635709395799.69
IDA & IBRD total,38246179203967.36,40448776490634.49
IDA total,2630947161900.7036,2813266144561.7803
IDA blend,1096038565477.4154,1173302850133.182
Indonesia,1186505455720.809,1319100220389.018
IDA only,1534883548261.967,1639926057562.3608
Isle of Man,,
India,3150306834279.648,3385089881935.3936
Not classified,,
Ireland,504182603275.5423,529244870222.7647
"Iran, Islamic Rep.",359096907772.9855,388544468139.7329
Iraq,207691599310.34482,264182173793.10345
Iceland,25552639899.066963,27841648044.37527
Israel,488526545878.89136,522033446211.6249
Italy,2114355756913.9194,2010431598465.3774
Jamaica,14657586359.380247,17097760745.2096
Jordan,45116317042.253525,47451499859.15493
Japan,5005536736792.294,4231141201863.174
Kazakhstan,197112255360.61234,220623001966.68585
Kenya,109703659312.8718,113420008178.79318
Kyrgyz Republic,8740681889.206327,10930644915.24011
Cambodia,26961061152.29787,29956769529.427994
Kiribati,227610034.76430634,223352943.188404
St. Kitts and Nevis,860844444.4444444,961563259.2592592
"Korea, Rep.",1810955871380.976,1665245538594.9565
Kuwait,136797422273.86848,184558274288.7373
Latin America & Caribbean (excluding high income),5045912949121.671,5784017996581.079
Lao PDR,18827148530.01514,15724383783.238453
Lebanon,23131941556.784348,
Liberia,3509000000.0,4001047150.0
Libya,39798423941.03346,45752336035.98456
St. Lucia,1691259259.2592592,2065027555.5555553
