Country,Team Size
Albania,1
American Samoa,1
Andorra,5
Argentina,6
Armenia,6
Australia,44
Austria,106
Azerbaijan,2
Belarus,26
Belgium,19
Bolivia,2
Bosnia and Herzegovina,6
Brazil,10
Bulgaria,16
Canada,215
Chile,4
China,182
Colombia,3
Croatia,11
Cyprus,1
Czechia,113
Denmark,62
Ecuador,1
Eritrea,1
Estonia,26
Finland,95
France,86
Georgia,9
Germany,149
Ghana,1
United Kingdom,50
Greece,5
Haiti,1
Hong Kong,3
Hungary,14
Iceland,5
India,1
Iran,3
Ireland,6
Israel,6
Italy,118
Jamaica,7
Japan,124
Kazakhstan,34
Kosovo,2
Kyrgyzstan,1
Latvia,57
Lebanon,3
Liechtenstein,2
Lithuania,13
Luxembourg,2
Madagascar,2
Malaysia,2
Malta,1
Mexico,4
Moldova,5
Monaco,3
Mongolia,2
Montenegro,3
Morocco,1
Netherlands,41
New Zealand,15
Nigeria,1
North Macedonia,3
Norway,84
Pakistan,1
Peru,1
Philippines,1
Poland,57
Portugal,3
Puerto Rico,2
Russia,212
Romania,21
San Marino,2
Saudi Arabia,1
Serbia,2
Slovakia,50
Slovenia,44
South Korea,64
Spain,14
Sweden,116
Switzerland,167
Chinese Taipei,4
Thailand,4
East Timor,1
Trinidad and Tobago,2
Turkey,7
Ukraine,45
United States,224
Uzbekistan,1
Virgin Islands,1
